Event.ID,Species.ID,Species_ID_gbif,Class_gbif,Family_gbif,Movement.type,Movement.sub.type,Movement.Measure,Value,Units,Statistic,Variance,Variance_type,Grouping.level,Sampling.method,New.Sampling.Method,Aggregation.level,N,Speed.continuous..y.n.,Temporal.scale.interval,Inference.method,Movement Mode,Movement Medium,Body.mass,Body.mass.Units,Body.mass.measured..y.n.,Sex,Lifestage,Diet,Location,Lat,Long,Study.type,MetaRef,Reference,Reference.code,Reference.full,Reference.DOI,Body.Mass.Ref,Body.mass.source,Movement Mode Ref,Diet.Ref,Comments_from_Ref,Method_comments,Jana_comments
1854,Phalacrocorax pelagicus,Phalacrocorax pelagicus,Aves,Phalacrocoracidae,Dispersal,Natal,Distance,150,km,Maximum,,,,Single observation,Mark-recapture,Individual,,,NA,,Flying,Aerial,2.03,kg,,Male,,Carnivore,,,,Metastudy,Sutherland et al. 2000,Hobson 1997,,"Hobson, K. A. 1997. Pelagic Cormorant, Phalacrocorax  pelagicus. In A. Poole and F. Gill, editors. The Birds of  North America. Number 282. Academy of Natural Sciences,  Philadelphia, Pennsylvania, USA, and American  Ornithologists' Union, Washington, D.C., USA.",,,,Inferred from Class:  Aves,,,Couldn't find reference - Can we assume ringed?,NA
1856,Cygnus olor,Cygnus olor,Aves,Anatidae,Dispersal,Natal,Distance,64,km,Maximum,,,,Single observation,Mark-recapture,Individual,,,NA,,Flying,Aerial,11.8,kg,,Male,,Herbivore,,,,Metastudy,Sutherland et al. 2000,Ciaranca et al. 1997,,"Ciaranca, M. A., C. C. Allin, and G. S. Jones. 1997. Mute  Swan, Cygnus olor. In A. Poole and F. Gill, editors. The  Birds of North America. Number 273. Academy of Natural  Sciences, Philadelphia, Pennsylvania, USA, and American  Ornithologists' Union, Washington, D.C., USA.  ",,,,Inferred from Class:  Aves,,,Couldn't find reference- Can we assume ringed?,NA
1858,Cygnus buccinator,Cygnus buccinator,Aves,Anatidae,Dispersal,Natal,Distance,128,km,Maximum,,,,Single observation,Mark-recapture,Individual,,,NA,,Flying,Aerial,11.4,kg,,Male,,Omnivore,,,,Metastudy,Sutherland et al. 2000,Mitchell 1994,,"Mitchell, C. D. 1994. Trumpeter Swan, Cygnus buccinator. In A. Poole and F. Gill, editors. The Birds of North America. Number 105. Academy of Natural Sciences, Philadelphia,  Pennsylvania, USA, and American Ornithologists' Union,  Washington, D.C., USA. ",NA,,,Inferred from Class:  Aves,,,Couldn't find reference - can we assume ringed?,NA
1860,Branta canadensis,Branta canadensis,Aves,Anatidae,Dispersal,Natal,Distance,28.4,km,Maximum,,,,Distance-density distribution,Unknown,Single study,19,,NA,,Flying,Aerial,3.814,kg,,Male,,Herbivore,,,,Metastudy,Sutherland et al. 2000,Lessells 1985,,"Lessells, C. M. 1985. Natal and breeding dispersal of wintering goshawks in Sweden. Viltrevy 12: 1-36.  ",,,,Inferred from Class:  Aves,,,Couldn't find reference - Assuming ringed?,NA
1861,Branta canadensis,Branta canadensis,Aves,Anatidae,Dispersal,Natal,Distance,2,km,Median,,,,Distance-density distribution,Unknown,Single study,19,,NA,,Flying,Aerial,3.814,kg,,Male,,Herbivore,,,,Metastudy,Sutherland et al. 2000,Lessells 1985,,"Lessells, C. M. 1985. Natal and breeding dispersal of wintering goshawks in Sweden. Viltrevy 12: 1-36.  ",NA,,,Inferred from Class:  Aves,,,NA,NA
1862,Branta canadensis,Branta canadensis,Aves,Anatidae,Dispersal,Natal,Distance,11.2,km,Maximum,,,,Distance-density distribution,Unknown,Single study,20,,NA,,Flying,Aerial,3.314,kg,,Female,,Herbivore,,,,Metastudy,Sutherland et al. 2000,Lessells 1985,,"Lessells, C. M. 1985. Natal and breeding dispersal of wintering goshawks in Sweden. Viltrevy 12: 1-36.  ",,,,Inferred from Class:  Aves,,,NA,NA
1863,Branta canadensis,Branta canadensis,Aves,Anatidae,Dispersal,Natal,Distance,1.5,km,Median,,,,Distance-density distribution,Mixed,Single study,20,,NA,,Flying,Aerial,3.314,kg,,Female,,Herbivore,,,,Metastudy,Sutherland et al. 2000,Lessells 1985,,"Letnic, M. 2002. Long distance movements and the use of fire mosaics by small mammals in the  Simpson Desert, central Australia. Aust. Mammal., 23: 125-134. ",https://doi.org/10.1071/AM01125,,,Inferred from Class:  Aves,,,NA,NA
1864,Aix sponsa,Aix sponsa,Aves,Anatidae,Dispersal,Natal,Distance,3.8,km,Maximum,,,,Single observation,Mark-recapture,Individual,,,NA,,Flying,Aerial,0.681,kg,,Male,,Omnivore,,,,Metastudy,Sutherland et al. 2000,Hepp and Bellrose 1995,,"Hepp, G. R., and F. C. Bellrose. 1995. Wood Duck, Aix  sponsa. In A. Poole and F. Gill, editors. The Birds of North  America. Number 169. Academy of Natural Sciences,  Philadelphia, Pennsylvania, USA, and American  Ornithologists' Union, Washington, D.C., USA.  ",,,,Inferred from Class:  Aves,,,Couldn't find reference - Can we assume ringed?,NA
1866,Bucephala clangula,Bucephala clangula,Aves,Anatidae,Dispersal,Natal,Distance,6,km,Maximum,,,,Distance-density distribution,Mark-recapture,Single study,138,,NA,,Flying,Aerial,0.8,kg,,Female,,Omnivore,,,,Metastudy,Sutherland et al. 2000,Dow and Fredga 1983,,"Dow, H., and S. Fredga. 1983. Breeding and natal  dispersal of the goldeneye, Bucephala clangula. Journal of  Animal Ecology 52: 681-695. ",https://doi.org/10.2307/4447,,,Inferred from Class:  Aves,,,Nest box study,NA
1867,Bucephala clangula,Bucephala clangula,Aves,Anatidae,Dispersal,Natal,Distance,0.75,km,Median,,,,Distance-density distribution,Mark-recapture,Single study,138,,NA,,Flying,Aerial,0.8,kg,,Female,,Omnivore,,,,Metastudy,Sutherland et al. 2000,Dow and Fredga 1983,,"Dow, H., and S. Fredga. 1983. Breeding and natal  dispersal of the goldeneye, Bucephala clangula. Journal of  Animal Ecology 52: 681-695. ",https://doi.org/10.2307/4447,,,Inferred from Class:  Aves,,,NA,NA
